username,content,reply_time
bu堪灰收,            ,2017-03-18 12:58
bu堪灰收,            ,2017-03-18 12:59
bu堪灰收,            ,2017-03-18 13:08
bu堪灰收,            ,2017-03-18 13:24
brucelili之歌,            谁在开船？,2017-03-18 13:56
bu堪灰收,            ,2017-03-18 17:45
MD还有谁yz,            水的一手好帖,2017-03-18 18:43
dlksjbl,            ,2017-03-18 18:59
信仰丿ASSASSIN,            真·海盗信条,2017-03-18 19:39
我可能不能在,            请教一下各位朋友:一直想玩，今天在谷歌上下载了但明明手机上没有但却显示已安装这什么情况啊？,2017-03-18 21:58
我可能不能在,            没法安装,2017-03-18 21:58
喇嘛阿克,            刺客信条.海盗奇航。,2017-03-18 21:59
我可能不能在,            请教一下各位怎么下,2017-03-18 22:00
南区危大侠,            ,2017-03-18 22:02
喇嘛阿克,            一开始是这俩人来到了一个海盗帮派集结地，当好碰上了一起事件，两个领导人在针锋相对，激进派海盗山缪.贝勒米（历史上的黑山缪）推翻了保守投降派的班杰明.荷尼葛德的地位，率众反抗英国海军，阿朗佐还帮荷尼葛德逃走了,2017-03-18 22:03
喇嘛阿克,            回来以后就和山缪结盟，组成了逗比三人组，开始了组团作死之旅。最后在差不多1717年的时候山缪把自己作死了,2017-03-18 22:05
喇嘛阿克,            在此期间阿朗佐一共见过了三个黑旗人物，荷尼葛德，黑胡子萨奇，还有疯酒鬼查尔斯.范恩,2017-03-18 22:07
热情的Dr_Frank,            你……居然会装我们银行的APP,2017-03-18 23:18
孟婆丶开碗汤彡,            还行,2017-03-19 00:23
尤文的心,            早,2017-03-19 07:48
浑浑噩噩d小子,            666,2017-03-19 08:07
sevenez,            国内代理版，除了有无限捞瓶子的bug，其他一切完美，包括翻译、充值。,2017-03-19 08:37
abcx_xx_x,            ,2017-03-19 08:57
弑星者1,            挂着刺客的牌子买着海战的策略，挂羊头卖狗肉，良心游戏越来越少了……,2017-03-19 09:59
游城stay,            哈哈哈,2017-03-19 11:18
jinisidazhan,            可惜这是能玩的最好的刺客信条手游，看本色那玩意，装个装备都要联网,2017-03-19 12:02
tabulardust96,            以前这游戏刚出的时候我还玩了好久，宝藏全收集加通关，船也是满级的,2017-03-19 13:38
qq603237809,            这是真的啊,2017-03-19 19:52
恶魔式微笑嗜血,            这是真的呀,2017-03-19 20:26
遗失of夏至,            这个不是山寨的吧,2017-03-20 00:07
