show_name,show_url,show_description,show_time,show_place,show_price
薛之谦“我好像在哪见过你”-2017全国巡回演唱会广州站-统帅电器之夜,https://piao.damai.cn/118325.html,如果你曾听过他，如果你曾爱过那《认真的雪》，请和你爱的人一起来听他的演唱会吧！,时间：2017.06.03,广州国际体育演艺中心,321-1717
“地表最强”2017周杰伦世界巡回演唱会 沈阳站,https://piao.damai.cn/117377.html,天马行空的创作思路使周杰伦的歌曲与任何一种音乐形式都不完全相同，形成极强的个人风格。,时间：2017.06.02-2017.06.03,沈阳奥林匹克体育中心体育场,380-1880
“地表最强”2017周杰伦世界巡回演唱会 天津站,https://piao.damai.cn/118113.html,周杰伦天津演唱会精彩演出。,时间：2017.05.26-2017.05.27,天津奥体中心体育场,380-1880
爆笑零距离2.0,https://piao.damai.cn/119487.html,"喜剧,四个段子组成的喜剧，短！平！快！新！奇！怪！",时间：2017.03.18-2017.05.14,正华星博剧场,80-198
【A CLASSIC TOUR学友•经典】世界巡回演唱会 中山站,https://piao.damai.cn/122053.html,时隔近六年再度回到中山举行演唱会，而且是以四面台的形式演出，相信定能给观众带来新鲜感,时间：2017.06.09-2017.06.10,中山市兴中体育场,380-1680
“青年晚报”-许嵩2017北京演唱会,https://piao.damai.cn/120705.html,演唱会精心筹备，力求回馈歌迷们的多年追随，还大家一个迟来的十年纪念。,时间：2017.06.03,乐视体育生态中心,180-1180
浦发银行信用卡呈献 薛之谦“我好像在哪见过你”—2017全国巡回演唱会-上海站,https://piao.damai.cn/122820.html,如果你曾听过他，如果你曾爱过那《认真的雪》，请和你爱的人一起来听他的演唱会吧！,时间：2017.06.10,上海梅赛德斯奔驰文化中心（上海世博文化中心）,321-1717
薛之谦“我好像在哪见过你”—2017全国巡回演唱会青岛站,https://piao.damai.cn/121193.html,请和你爱的人一起来听他的演唱会吧!,时间：2017.05.20,青岛市体育中心国信体育馆,321-1717
“地表最强”2017周杰伦世界巡回演唱会 南京站,https://piao.damai.cn/115862.html,“地表最强”2017周杰伦世界巡回演唱会 南京站,时间：2017.05.20-2017.05.21,南京奥体中心体育场,380-1980
Live 4 LIVE 《尖叫现场》迪玛希“惊喜之夜”生日会,https://piao.damai.cn/122457.html,尖叫现场，点燃每一个有趣的灵魂。,时间：2017.05.24,北京展览馆剧场,380-1280
